datasetname,avg_supp,kl_supp,wkl_supp,avg_usg,kl_usg,wkl_usg,wacc_supp,wacc_usg,jacc_avg,n_rules,avg_items,wkl_sum,length_orig,length_final,length_ratio,runtime,beamsize, 
wizmir,233.2273,2.1692,412.7414,65.6818,2.6338,178.235,3109.0587,827.8342,0.0831,22,3.1364,3921.1699,8608.5266,5505.9229,0.6396,170.4512,300, 
wizmir,240.1364,2.1465,412.9435,65.6818,2.6338,178.235,3078.6017,827.8342,0.0855,22,3.1364,3921.1699,8608.5266,5505.9229,0.6396,546.364,1000, 
abalone,572.4,1.0393,238.9273,138.9667,1.0217,98.2874,975.1783,254.6949,0.0514,30,2.7333,2948.621,15604.6465,13484.2597,0.8641,8.59,1, 
abalone,484.0,1.138,267.0689,149.1481,1.0366,109.3579,929.2989,283.1089,0.0513,27,2.8889,2952.6624,15604.6465,13423.6918,0.8602,13.7144,3, 
abalone,396.3103,1.1081,245.4529,138.931,1.0075,102.3991,763.5192,260.1396,0.0421,29,2.8966,2969.5732,15604.6465,13434.8485,0.861,32.7273,10, 
abalone,369.8077,1.1928,256.1228,152.5385,1.0459,113.4575,740.9855,292.3597,0.0405,26,3.0385,2949.8944,15604.6465,13409.6814,0.8593,260.3336,100, 
abalone,432.2222,1.112,262.6638,150.2593,0.9846,110.6658,837.5772,284.2404,0.0439,27,2.8889,2987.9772,15604.6465,13383.8688,0.8577,626.7363,300, 
abalone,387.68,1.1797,207.4959,159.28,1.0919,118.3713,664.6121,303.79,0.0322,25,3.12,2959.2835,15604.6465,13391.0103,0.8581,1999.8489,1000, 
puma32h,948.25,1.2627,681.1082,203.3,1.4165,287.6303,13.2953,4.4413,0.0557,40,3.625,11505.212,-24571.4795,-34081.3746,0.721,48.9552,1, 
puma32h,1041.6,1.4469,716.6322,232.9429,1.5077,321.953,14.0006,5.0124,0.0532,35,3.7714,11268.3566,-24571.4795,-34049.1521,0.7216,86.4159,3, 
puma32h,798.2895,1.406,687.6981,208.3947,1.526,301.0842,12.7952,4.6067,0.0491,38,4.0,11441.1999,-24571.4795,-34012.8652,0.7224,271.2547,10, 
puma32h,960.4286,1.4749,835.1019,232.5429,1.5483,327.6329,18.2545,5.1253,0.0641,35,4.1714,11467.151,-24571.4795,-34144.4209,0.7196,2540.4118,100, 
puma32h,1012.8108,1.4467,807.6918,218.1081,1.5358,308.9721,17.2387,4.7284,0.0654,37,4.2162,11431.9669,-24571.4795,-33992.1457,0.7229,7709.3276,300, 
puma32h,873.6,1.5297,820.2814,230.5714,1.5526,325.689,15.6809,4.9951,0.0553,35,4.1143,11399.114,-24571.4795,-34096.348,0.7206,20462.3128,1000, 
ailerons,994.8889,2.003,1116.7641,138.1515,1.6651,177.3319,0.3081,0.0384,0.0502,99,4.0606,17555.8544,-126675.9783,-140380.4868,0.9024,238.2918,1, 
ailerons,923.4766,1.8984,1022.404,128.0654,4.004,172.7442,0.2947,0.0357,0.0409,107,3.9439,18483.63,-126675.9783,-141423.293,0.8957,457.9685,3, 
ailerons,930.0541,2.0501,1010.9954,122.4144,2.2158,162.6141,0.2793,0.0343,0.0427,111,3.982,18050.1624,-126675.9783,-140792.7131,0.8997,1328.0248,10, 
ailerons,639.8873,1.8523,743.8566,94.993,5.5724,141.0149,0.2006,0.0266,0.0235,142,3.8099,20024.1198,-126675.9783,-143468.3745,0.883,16141.9117,100, 
ailerons,720.648,1.5105,539.8671,70.0255,5.7079,109.1134,0.1635,0.0198,0.0162,196,3.5153,21386.2242,-126675.9783,-144787.8265,0.8749,52090.5701,300,
