datasetname,avg_supp,kl_supp,wkl_supp,avg_usg,kl_usg,wkl_usg,wacc_supp,wacc_usg,jacc_avg,n_rules,avg_items,wkl_sum,length_orig,length_final,length_ratio,runtime,maxdepth
california,989.6889,1.7408,763.2628,217.2333,1.7858,209.7014,77725490.6079,16822346.7843,0.0273,90,2.9444,18873.1278,389338.2958,373884.4289,0.9603,2320.7785,3
california,783.6667,2.4246,565.8557,160.8968,2.51,169.5172,53973986.4459,12234437.0255,0.0168,126,3.7937,21359.1623,389338.2958,373211.3401,0.9586,5292.5371,4
california,515.4966,2.8308,463.9071,131.4228,2.9315,152.9623,42289624.229,10232556.1821,0.011,149,4.5839,22791.3899,389338.2958,373185.3015,0.9585,8626.3858,5
california,397.9821,3.413,388.8561,113.0417,3.6085,145.0621,33312100.6103,9057739.0913,0.0089,168,5.1607,24370.4377,389338.2958,372744.9049,0.9574,13226.2303,6
california,403.731,3.2646,403.3811,111.5205,3.3523,145.1458,34371431.533,8950515.8981,0.0081,171,5.5439,24819.9325,389338.2958,372514.0485,0.9568,16682.7778,7
california,405.7241,3.1609,416.6225,108.5517,3.3435,142.0301,36760522.9081,8836654.0376,0.0087,174,5.523,24713.2413,389338.2958,372673.9149,0.9572,20318.1426,8
california,405.7241,3.1609,416.6225,108.5517,3.3435,142.0301,36760522.9081,8836654.0376,0.0087,174,5.523,24713.2413,389338.2958,372673.9149,0.9572,18570.9949,9
california,405.7241,3.1609,416.6225,108.5517,3.3435,142.0301,36760522.9081,8836654.0376,0.0087,174,5.523,24713.2413,389338.2958,372673.9149,0.9572,19693.1584,10
california,405.7241,3.1609,416.6225,108.5517,3.3435,142.0301,36760522.9081,8836654.0376,0.0087,174,5.523,24713.2413,389338.2958,372673.9149,0.9572,20134.5462,11
house,8473.8,0.2156,1416.0284,1137.95,0.7799,860.9885,93740467.6058,27009374.3392,0.2588,20,1.0,17219.7696,404108.4538,387507.7405,0.9589,12.936,1
house,2597.1585,0.9469,1657.3207,277.439,1.3918,338.1652,54640151.6496,7359139.2223,0.0614,82,1.9756,27729.5483,404108.4538,379135.9163,0.9382,1615.9018,2
house,1290.1739,2.1436,1502.7979,164.0797,2.2272,249.5699,32967077.1569,4584826.8753,0.0304,138,2.9638,34440.6528,404108.4538,375185.9653,0.9284,7112.4342,3
house,1132.5273,3.1712,1201.6891,136.8303,3.357,230.7352,26127702.1943,3914767.4137,0.0207,165,3.8485,38071.3013,404108.4538,373425.4297,0.9241,13324.2676,4
house,710.2067,4.4245,934.8383,108.1923,4.8301,205.914,17753773.1006,3136580.0244,0.0127,208,4.8173,42830.1171,404108.4538,371685.2888,0.9198,24884.3229,5
house,637.6419,5.1059,837.5097,98.1703,5.2175,197.5437,15491207.7326,2862082.2226,0.0109,229,5.6201,45237.5088,404108.4538,371211.7407,0.9186,35466.4813,6
house,603.2651,5.7841,811.1051,90.3896,5.9908,190.1217,14928657.7234,2636129.2859,0.0095,249,6.245,47340.2924,404108.4538,370439.7884,0.9167,47735.5661,7
house,458.9023,6.0211,686.151,86.457,6.2931,189.1704,12473751.7956,2546248.2634,0.0078,256,6.6445,48427.6352,404108.4538,370298.6585,0.9163,64321.9934,8
house,515.3372,6.131,694.6289,85.4138,6.9341,192.4569,12015615.7832,2491833.2604,0.0074,261,6.8966,50231.2576,404108.4538,369144.5269,0.9135,107038.5327,9
house,474.2313,6.1595,698.8748,83.097,6.7744,188.0185,12270034.1343,2453926.2894,0.0076,268,7.097,50388.9554,404108.4538,369211.1408,0.9136,86161.0863,10
house,540.4242,6.3045,721.819,84.6856,6.7778,189.9215,12351637.6081,2470707.7438,0.0083,264,6.9962,50139.2769,404108.4538,369214.3953,0.9137,97066.9432,11
